dataset,exp_name,seed,rollout_time,scores,returns,first_value,first_search_value,discount_return,prediction_error,step
antmaze-large-diverse-v0,baseline,1,1,100.0,1.0,0.24996626377105713,0.43341949582099915,0.4516737913486461,0.37087820489481593,397
antmaze-large-diverse-v0,baseline,1,2,100.0,1.0,0.225197434425354,0.4043802320957184,0.32331457727616086,0.39694040475618314,564
antmaze-large-diverse-v0,baseline,1,3,0.0,0.0,0.23785674571990967,0.4873853921890259,0.0,0.2024755292981677,999
antmaze-large-diverse-v0,baseline,1,4,0.0,0.0,0.24991008639335632,0.3712669610977173,0.0,0.17725171684884436,999
antmaze-large-diverse-v0,baseline,1,5,0.0,0.0,0.25580406188964844,0.3533034026622772,0.0,0.35561183470818936,999
antmaze-large-diverse-v0,baseline,1,6,0.0,0.0,0.2605563998222351,0.2736143469810486,0.0,0.29015587345854044,999
antmaze-large-diverse-v0,baseline,1,7,0.0,0.0,0.15461133420467377,0.13849623501300812,0.0,0.12802352802986247,999
antmaze-large-diverse-v0,baseline,1,8,100.0,1.0,0.24672436714172363,0.402619868516922,0.40215760491975233,0.46175071753719776,455
antmaze-large-diverse-v0,baseline,1,9,0.0,0.0,0.2798978388309479,0.33877360820770264,0.0,0.30945202605882,999
antmaze-large-diverse-v0,baseline,1,10,100.0,1.0,0.2546858489513397,0.4514618515968323,0.36094872766228875,0.40310244808009105,509
antmaze-large-diverse-v0,baseline,1,11,0.0,0.0,0.22723126411437988,0.2455577254295349,0.0,0.25738096448985887,999
antmaze-large-diverse-v0,baseline,1,12,100.0,1.0,0.23286044597625732,0.4557609558105469,0.3002308485483078,0.37991024410700064,601
antmaze-large-diverse-v0,baseline,1,13,0.0,0.0,0.16099324822425842,0.28893518447875977,0.0,0.21411613257376905,999
antmaze-large-diverse-v0,baseline,1,14,100.0,1.0,0.26541537046432495,0.4415317177772522,0.2821643185451634,0.4221450544087255,632
antmaze-large-diverse-v0,baseline,1,15,100.0,1.0,0.24604478478431702,0.423255056142807,0.31563981598875435,0.37664451005448846,576
antmaze-large-diverse-v0,baseline,1,16,100.0,1.0,0.2546086311340332,0.37567946314811707,0.44538817265221076,5.7993253380329435,404
antmaze-large-diverse-v0,baseline,1,17,100.0,1.0,0.17317679524421692,0.12594541907310486,0.3749429834781701,0.46965845419292923,490
antmaze-large-diverse-v0,baseline,1,18,0.0,0.0,0.18515682220458984,0.21910914778709412,0.0,0.13147409584585884,999
antmaze-large-diverse-v0,baseline,1,19,100.0,1.0,0.1766427755355835,0.28009432554244995,0.18128076203352786,0.45854729321916937,853
antmaze-large-diverse-v0,baseline,1,20,100.0,1.0,0.275920033454895,0.35011041164398193,0.3787150152974489,0.4903381863921203,485
antmaze-large-diverse-v0,baseline,2,1,100.0,1.0,0.297183096408844,0.4228718876838684,0.356638942188763,0.45563881492045644,515
antmaze-large-diverse-v0,baseline,2,2,100.0,1.0,0.2754737138748169,0.2783936858177185,0.3675112548571586,0.3109714005560233,500
antmaze-large-diverse-v0,baseline,2,3,100.0,1.0,0.294574499130249,0.5753904581069946,0.4673106613000749,0.5133407668370568,380
antmaze-large-diverse-v0,baseline,2,4,100.0,1.0,0.28973305225372314,0.2813345193862915,0.34127201076545377,0.4991176899747778,537
antmaze-large-diverse-v0,baseline,2,5,0.0,0.0,0.3575989603996277,0.3001753091812134,0.0,0.2146498863465508,999
antmaze-large-diverse-v0,baseline,2,6,100.0,1.0,0.2783513069152832,0.3977826237678528,0.2641252712692765,0.4817578981734605,665
antmaze-large-diverse-v0,baseline,2,7,100.0,1.0,0.28056347370147705,0.2978733777999878,0.30143538434414696,0.48718949806126055,599
antmaze-large-diverse-v0,baseline,2,8,100.0,1.0,0.286485493183136,0.3660821318626404,0.3298525707818765,0.4084117061587787,554
antmaze-large-diverse-v0,baseline,2,9,100.0,1.0,0.2830852270126343,0.30163007974624634,0.3495700171766329,0.42024581343885276,525
antmaze-large-diverse-v0,baseline,2,10,0.0,0.0,0.27955812215805054,0.39131253957748413,0.0,0.293971840640897,999
antmaze-large-diverse-v0,baseline,2,11,100.0,1.0,0.2504847049713135,0.20657174289226532,0.40215760491975233,0.3722630150679145,455
antmaze-large-diverse-v0,baseline,2,12,0.0,0.0,0.32571858167648315,0.5576677918434143,0.0,0.351599720665184,999
antmaze-large-diverse-v0,baseline,2,13,100.0,1.0,0.25269752740859985,0.18433777987957,0.28557411915120484,0.4231047566105383,626
antmaze-large-diverse-v0,baseline,2,14,0.0,0.0,0.28338295221328735,0.2606346011161804,0.0,0.1437905465142673,999
